tGroup,round,epoch,layer,neuron,type,weight,value
1-2,0,700,0,7,N,12,0.03010299361580466
1-2,0,700,0,7,N,13,-0.7785366348331915
1-2,0,700,0,7,N,14,-0.7912511408407518
1-2,0,700,0,7,N,15,0.20672067978165526
1-2,0,700,0,7,N,16,-0.21880156511754395
1-2,0,700,0,7,N,17,-0.21263138399120016
1-2,0,700,0,7,N,18,0.49062812943574574
1-2,0,700,0,7,N,19,0.09241464213299187
1-2,0,700,0,7,N,20,0.03164239866375488
1-2,0,700,0,7,N,21,-0.3397182879688846
1-2,0,700,0,7,N,22,-0.11234688094287708
1-2,0,700,0,7,N,23,-0.021253937452736286
1-2,0,700,0,7,N,24,-0.0946193982341127
1-2,0,700,0,7,N,25,0.3317196681268708
1-2,0,700,0,7,N,26,0.7720514070265668
1-2,0,700,0,7,N,27,0.005803899430922067
1-2,0,700,0,7,N,28,0.394718238714738
1-2,0,700,0,7,N,29,-0.25332247582543727
1-2,0,700,0,7,N,30,0.1559142838730142
1-2,0,700,0,7,N,31,-0.7871430137047413
1-2,0,700,0,7,N,32,0.12968559564671944
1-2,0,700,0,7,N,33,-0.1615908051450378
1-2,0,700,0,7,N,34,0.3184864813125233
1-2,0,700,0,7,N,35,0.0631816330491263
1-2,0,700,0,7,N,36,-0.27269356308290504
1-2,0,700,0,7,N,37,-0.060729414493519825
1-2,0,700,0,7,N,38,0.02072409891764609
1-2,0,700,0,7,N,39,0.044029159142115915
1-2,0,700,0,7,N,40,0.724044499781071
1-2,0,700,0,7,N,41,-0.680235118890208
1-2,0,700,0,7,N,42,0.2698682854419272
1-2,0,700,0,7,N,43,0.16603575811075877
1-2,0,700,0,7,N,44,0.36282504520871106
1-2,0,700,0,7,N,45,0.4778759142095984
1-2,0,700,0,7,N,46,0.19657112320983525
1-2,0,700,0,7,N,47,0.609993310211378
1-2,0,700,0,7,N,48,-0.14303027577255917
1-2,0,700,0,7,N,49,-0.28185427311141964
1-2,0,700,0,7,N,50,0.1389561279056623
1-2,0,700,0,7,N,51,-0.1196979854316896
1-2,0,700,0,7,N,52,-0.45575799470053135
1-2,0,700,0,7,N,53,-0.1359628406285613
1-2,0,700,0,7,N,54,0.1309134453940181
1-2,0,700,0,7,N,55,-0.7509746504834747
1-2,0,700,0,8,N,0,0.1363865333421875
1-2,0,700,0,8,N,1,-0.2290600401465317
1-2,0,700,0,8,N,2,-0.3173811491673904
1-2,0,700,0,8,N,3,-0.43633807487616244
1-2,0,700,0,8,N,4,-0.13675194652609735
1-2,0,700,0,8,N,5,-0.6449403523788643
1-2,0,700,0,8,N,6,-0.3777219623789731
1-2,0,700,0,8,N,7,-0.9317424189857033
1-2,0,700,0,8,N,8,-0.06961152694334712
1-2,0,700,0,8,N,9,0.050385571877790046
1-2,0,700,0,8,N,10,0.6863837858783549
1-2,0,700,0,8,N,11,0.27177503690592697
1-2,0,700,0,8,N,12,-0.9008644890931303
1-2,0,700,0,8,N,13,-0.14910295521050618
1-2,0,700,0,8,N,14,0.6821692362294995
1-2,0,700,0,8,N,15,0.4472177464015884
1-2,0,700,0,8,N,16,0.15393763241298594
1-2,0,700,0,8,N,17,0.14329212854336523
1-2,0,700,0,8,N,18,0.004239497370005471
1-2,0,700,0,8,N,19,0.10677549289015886
1-2,0,700,0,8,N,20,0.2873940470630523
1-2,0,700,0,8,N,21,0.5640744452153034
1-2,0,700,0,8,N,22,-0.42157380721277965
1-2,0,700,0,8,N,23,-0.6826884411328953
1-2,0,700,0,8,N,24,-0.3728685766534985
1-2,0,700,0,8,N,25,0.26027611813506624
1-2,0,700,0,8,N,26,0.5503038959728839
1-2,0,700,0,8,N,27,-0.07632508830976951
1-2,0,700,0,8,N,28,0.016942554302570575
1-2,0,700,0,8,N,29,-0.15066328952443664
1-2,0,700,0,8,N,30,-0.654982249357642
1-2,0,700,0,8,N,31,-0.1763785631408753
1-2,0,700,0,8,N,32,0.003224809682805252
1-2,0,700,0,8,N,33,-0.2568552248737311
1-2,0,700,0,8,N,34,-0.36504006112781423
1-2,0,700,0,8,N,35,-0.006748004782621268
1-2,0,700,0,8,N,36,-0.7466033668197981
1-2,0,700,0,8,N,37,-0.32151265550928226
1-2,0,700,0,8,N,38,-0.38423460778727614
1-2,0,700,0,8,N,39,0.40398566428670823
1-2,0,700,0,8,N,40,0.22955170941703465
1-2,0,700,0,8,N,41,-0.3148129084230612
1-2,0,700,0,8,N,42,-0.33259688866480597
1-2,0,700,0,8,N,43,-0.29506298905350603
1-2,0,700,0,8,N,44,-0.18758003601184747
1-2,0,700,0,8,N,45,-0.5305516559680173
1-2,0,700,0,8,N,46,-0.04201399066788556
1-2,0,700,0,8,N,47,0.26213781100617867
1-2,0,700,0,8,N,48,0.4407176420413206
1-2,0,700,0,8,N,49,-0.8827239175926367
1-2,0,700,0,8,N,50,0.9277351630084412
1-2,0,700,0,8,N,51,-0.40699170067997165
1-2,0,700,0,8,N,52,0.19055317375387243
1-2,0,700,0,8,N,53,-0.3693548150174093
1-2,0,700,0,8,N,54,-0.5162449538964298
1-2,0,700,0,8,N,55,-0.3597785094401761
1-2,0,700,0,9,N,0,0.06922921736519277
1-2,0,700,0,9,N,1,0.003111354367412827
1-2,0,700,0,9,N,2,-0.03373896873289432
1-2,0,700,0,9,N,3,0.2698292103205875
1-2,0,700,0,9,N,4,-0.09980087234737296
1-2,0,700,0,9,N,5,-0.05741423838727222
1-2,0,700,0,9,N,6,0.45639352406344247
1-2,0,700,0,9,N,7,0.7351599168340377
1-2,0,700,0,9,N,8,0.5976489431384557
1-2,0,700,0,9,N,9,-0.30545931324816405
1-2,0,700,0,9,N,10,-0.5750613860391222
1-2,0,700,0,9,N,11,0.2224851739060035
1-2,0,700,0,9,N,12,-0.656429682145331
1-2,0,700,0,9,N,13,0.1344480040595411
1-2,0,700,0,9,N,14,-0.06484599417955902
1-2,0,700,0,9,N,15,-0.31393945831866915
1-2,0,700,0,9,N,16,0.13560355837060692
1-2,0,700,0,9,N,17,-0.9275325122113339
1-2,0,700,0,9,N,18,0.668531412895782
1-2,0,700,0,9,N,19,0.08874515677097425
1-2,0,700,0,9,N,20,0.05254886530957972
1-2,0,700,0,9,N,21,-0.06541565846795099
1-2,0,700,0,9,N,22,-0.36219625918744364
1-2,0,700,0,9,N,23,0.17728874396617322
1-2,0,700,0,9,N,24,0.12565159182173058
1-2,0,700,0,9,N,25,-0.8578921856747419
1-2,0,700,0,9,N,26,-0.3991032320656134
1-2,0,700,0,9,N,27,-0.4693625484185975
1-2,0,700,0,9,N,28,0.2265964371139794
1-2,0,700,0,9,N,29,0.2831782321226002
1-2,0,700,0,9,N,30,-0.056971642404637035
1-2,0,700,0,9,N,31,-0.45660070600573
1-2,0,700,0,9,N,32,0.26157272197337744
1-2,0,700,0,9,N,33,-0.9228374648148285
1-2,0,700,0,9,N,34,-0.49788089020832865
1-2,0,700,0,9,N,35,-0.25995173501653335
