"sub.layer","sub.neuron","sub.type","sub.weight","sub.value"
0,5,"N",40,0.106958867555021
0,5,"N",41,-0.0112433140270103
0,5,"N",42,-0.124675448811684
0,5,"N",43,-0.405494540342185
0,5,"N",44,-0.60691109567166
0,5,"N",45,0.419168837907096
0,5,"N",46,-0.131349704737006
0,5,"N",47,-0.379902218082792
0,5,"N",48,-0.014991538677915
0,5,"N",49,-0.294376259240414
0,5,"N",50,0.327707681060293
0,5,"N",51,0.644454807664551
0,5,"N",52,-0.114989956846034
0,5,"N",53,0.376431291837197
0,5,"N",54,0.260927629026923
0,5,"N",55,0.731320471738448
0,6,"N",0,0.118268614818567
0,6,"N",1,-0.280569296501028
0,6,"N",2,-0.671263071363853
0,6,"N",3,0.204055811753977
0,6,"N",4,-0.329077602978504
0,6,"N",5,0.068860077417602
0,6,"N",6,0.24519977708871
0,6,"N",7,-0.157695071997178
0,6,"N",8,0.145405337885593
0,6,"N",9,-0.19048507807448
0,6,"N",10,-0.723994925911229
0,6,"N",11,-0.112970605304654
0,6,"N",12,0.112643083015642
0,6,"N",13,0.159872682369884
0,6,"N",14,0.0157259577487773
0,6,"N",15,-0.151936556014109
0,6,"N",16,0.339168687363275
0,6,"N",17,0.254195518853549
0,6,"N",18,-0.245018323774755
0,6,"N",19,-0.540264759263804
0,6,"N",20,0.43533142488819
0,6,"N",21,0.452725621703226
0,6,"N",22,0.337228089338601
0,6,"N",23,0.530279774861526
0,6,"N",24,-0.170707577515303
0,6,"N",25,0.184136289853985
0,6,"N",26,0.24965129139844
0,6,"N",27,-0.224302250089548
0,6,"N",28,0.201180494445262
0,6,"N",29,0.520596717987454
0,6,"N",30,-0.399356508086387
0,6,"N",31,0.505211895469761
0,6,"N",32,0.0448272147062138
0,6,"N",33,0.190467501470704
0,6,"N",34,0.489871329484754
0,6,"N",35,-0.202770112888756
0,6,"N",36,-0.647708276848075
0,6,"N",37,0.0796360999288012
0,6,"N",38,-0.417770727588574
0,6,"N",39,0.22215644320767
0,6,"N",40,0.569298285040789
0,6,"N",41,0.118404043175918
0,6,"N",42,-0.436854749572715
0,6,"N",43,-0.400239888307758
0,6,"N",44,0.0422457568977713
0,6,"N",45,-0.0301115565856719
0,6,"N",46,0.891098377197504
0,6,"N",47,0.0748007561494791
0,6,"N",48,0.304472323501601
0,6,"N",49,-0.398250259330346
0,6,"N",50,-0.462097201442039
0,6,"N",51,0.383386786735255
0,6,"N",52,0.520639421911275
0,6,"N",53,0.516745241348985
0,6,"N",54,-0.029053715777689
0,6,"N",55,0.164564315171535
0,7,"N",0,-0.198924948281465
0,7,"N",1,0.33463480726577
0,7,"N",2,0.524360178960007
0,7,"N",3,0.511505718845014
0,7,"N",4,0.706806253632405
0,7,"N",5,-0.326502312549631
0,7,"N",6,0.0932949000435982
0,7,"N",7,0.859022265536487
0,7,"N",8,0.241369974625862
0,7,"N",9,0.698390161730575
0,7,"N",10,0.186521090806197
0,7,"N",11,0.679205063891788
0,7,"N",12,0.115802685770346
0,7,"N",13,-0.178413400751754
0,7,"N",14,-0.468840815313833
0,7,"N",15,-0.585800134011139
0,7,"N",16,-0.0509292834900648
